pronoun
অন্য
ইহা
কার
অপর
উনি
কাহার
আপন
উহা
কি
আপসে
এ
কিসে
আমরা
ঐ
কী
আমাকে
ঐসব
কে
ইনি
ও
কেউ
কেহ
আপনাকে
আমি
কোন
আপনাদের
ইহাকে
খোদ
আপনার
ইহাকে
তুমি
আপনারা
ইহাদের
তা
আপনি
ইহারা
তাবৎ
আমাদিগকে
উহাদিগকে
আপনা
আমাদের
উহাদিগের
আপনা
আপনি
আমার
উহাদের
উহারা
তাবৎ
মোদের
এই
তারা
মোর
একে
তাহা
মোরা
এদের
তাহাকে
যা
এর
তাহাদিগকে
যাদের
এরা
তাহাদের
যারা
ওদের
তাহারা
যাহা
ওদেরকে
তিনি
যাহাদের
ওর
তোমরা
যাহারা
ওরা
তোমাকে
যিনি
কেহ
তোমাদিগকে
যে
কোন
তোমাদের
সকল
খোদ
তোমার
সব
তুমি
নিজে
স্বয়ং
তা
নিজে নিজে
সবাই
তাকে
নিজেদের
সমুদয়
তাদের
পর
সে
তাদেরকে
পরস্পর
