verb_suffix
অ
ই
ইও
ইত
ইতাম
ইতিস
ইতে
ইতেছ
ইতেছি
ইতেছিল
ইতেছিলাম
ইতেছিলি
ইতেছিলে
ইতেছিলেন
ইতেছিস
ইতেছে
ইতেছেন
ইতেন
ইব
ইবি
ইবে
ইবেন
ইয়াছ
ইয়াছি
ইয়াছিল
ইয়াছিলাম
ইয়াছিলি
ইয়াছিলে
ইয়াছিলেন
ইয়াছিস
ইয়াছে
ইয়াছেন
ইয়েছ
ইয়েছি
ইয়েছিল
ইয়েছিলাম
ইয়েছিলি
ইয়েছিলে
ইয়েছিলেন
ইয়েছিস
ইয়েছে
ইয়েছেন
ইল
ইলাম
ইলি
ইলে
ইলেন
ইস
উক
উন
এ
এছি
এছিল
এছিলাম
এছিলি
এছিলে
এছিলেন
এছিস
এছেন
এন
ও
ক
চ্ছ
চ্ছি
চ্ছিল
চ্ছিলাম
চ্ছিলি
চ্ছিলে
চ্ছিলেন
চ্ছিস
চ্ছে
চ্ছেন
ছ
ছি
ছিল
ছিলাম
ছিলি
ছিলে
ছিলেন
ছিস
ছে
ত
তাম
তিস
তুম
তে
তেন
তো
ন
ব
বি
বে
বেন
বো
মধ্যম
মূলধাতু
য়
য়নাম
য়ো
ল
লাম
লি
লুম
লে
লেন
লেসাধু
লো
স
–এছ
–এছিলুম
–এছে
–ছেন
