verb
ক
কুড়
ল
স
হ
খা
গা
চা
পা
যা
দি
নি
চ
ছ
ধ
শু
ন
কর
কহ
গজ
ঘট
চট
কম
গড়
চল
চষ
চর
চড়
জম
জ্বল
জপ
ঝর
টল
ঠক
ডল
ঢল
দম
ধর
কষ
গল
ঘষ
তল
দল
ধস
নড়
পচ
খু জ
খুট
খুড়
খুল
গুচ
গুন
গুণ
ঘুচ
ঘুট
ঘুর
চুষ
ছুট
ছুড়
জুক
জুট
ঝুক
ঝুট
ঝুল
টুক
ঠুক
ডুব
ঢুক
ঢুল
তুল
দুল
ধুক
পুত
পুড়
ফুট
ফুস
বুঝ
বুন
ভুক
ভুগ
ভুল
মুছ
রুখ
লুট
শুক
শুন
শুধ
ক্ষ্যাপ
কামা
ঝাকা
পট
পড়
ফল
বক
বল
বস
ভর
মর
লড়
সপ
সর
হট
কহ
সহ
বহ
কাট
কাঁদ
কাপ
কাশ
খাট
গাথ
ঘাম
ঘাট
চাপ
চাট
চাল
ছাক
ছাপ
ছাট
ছাড়
ছাই
জাগ
জান
ঝাক
ঝাড়
ঝার
টান
ঢাক
ডাব
ঢাল
থাক
থাম
নাড়
নাচ
জ্বালা
ঝাটা
টাঙা
তাকা
তাড়া
দাড়া
ধাক্কা
পাঠা
বাক
বাচ
রাঙা
সাটা
শাসা
হাতা
হাপা
চেচা
চেনা
চেন
নাহা
গাহা
চাহা
গিথ
চিবা
জিরা
জিই
ঠেঙা
ডিঙ্গা
থিতা
নিড়া
পিছা
বিলা
বিষা
সেলা
হাল
উচা
কুপা
কুলা
খুচা
গুঙা
গুছা
গুটা
গুল
চুক
চুখ
নাম
পাক
পাত
পার
পাল
পাড়
ফাট
ফাপ
ফাস
বাজ
বাধ
বাড়
ডাক
ভাগ
ভাঙ
ভাং
ভাজ
ভান
ভাপ
ভাব
ভাস
মাখ
মাগ
মাজ
মাত
মান
মাপ
মার
যাত
রাখ
রাগ
রাধ
লাগ
সাজ
সাধ
হাক
হাঁট
হান
হার
হাস
গাহ
চাহ
বাহ
নাহ
চুব
ছুর
ছুই
চুমা
জুতা
জুড়
জুর
ধুই
পুষ
পুহ
ফুরা
ফুলা
ফুড়া
বুজ
বুলা
বুড়া
মুড়া
লুকা
সুধ
খুয়া
চুয়া
যোগা
ধুলা
পুহা
শুই
নুই
দৌড়া
পৌছা
কচলা
চটকা
সমঝা
ধমকা
ঝাপটা
আস
এক
এস
আন
এন
এ
গি
বাছ
ফাল
বাস
সার
কিন
গিল
ঘির
চিন
চিপ
চিম
চির
চিড়
ছিট
ছিন
ছির
ছিড়
জিত
ঝিম
টিক
টিপ
নিভ
পিট
ফির
বিধ
ভিজ
মিট
মিল
মিশ
লিখ
শিখ
হিল
ভিড়
উঠ
উড়
ওঠ
উল্টা
পাল্টা
আঁক
কুট
রও
থাকিস
রস
রোস
রহিস
থাকি
রই
থাকে
রয়
দে
নে
ফা
ধুয়
আছ
খুশ
বেড়া
খেল
ঠেল
ফেল
বেল
মেল
হেল
দেখ
বেচ
গে
গ
ভালবাস
রহি
আয়
ছিল
ছিলেন
ছিলে
ছিলি
ছিলাম
নন
নহে
নহেন
নহ
নও
নয়
নহস
নহিস
নস
নহি
নই
বটে
বটেন
বট
বটিস
বটি
থাকে
থাকেন
রহেন
মুড়
রাঁধ
আঁট
ছড়
ঘুম
ব
রা
ধুন
পূজ
জন্ম
ছা
