adjective suffix
িষ্ণু
 িক
 িত
 িল
 িষ্ঠ
 িন
 ো
বর
 ারি
 ারী
কারক
বর্তী
বাদিত
প্রবণ
ারু
 ালি
 ালো
 ালী
 াটিয়া
তর
তম
নীন
 ীয়
বান
কাল
গ্রাহী
বাদ
 াত্নক
সঙ্গ
লব্ধ
ত্রিক
জাত
গর্ভ
তূল্য
দীপ্ত
পক্ব
বর্ধক
সাত
বাচক
বিহীন
ভূত
কারী
নামা
বদ্ধ
কৃতি
কায়
ল্য
স্পর্শী
কর্মা
নতা
হার্য
গম্য
সূচক
ভাষী
মূলক
শীয়
হারক
বৃত
দার
য়িনী
কীর্ণ
তীর্ণ
মানী
শিষ্ট
পন্হী
ক্রমী
গ্রস্ত
মুখী
ত্থিত
পেত
ভেদী
জনক
ত্মিক
কোরা
ময়
কূল
গত
কার
হারা
সার
কারি
গারি
বর্তিত
কীয়
হনী
রিক
রীণ
মোদিত
মোদী
সাধ্য
কর
দীয়
পিত
হী
তিক
নিক
মেয়
বাসী
লব্দ
লভ্য
দায়ক
কার্য
জীব্য
ঘাতী
পরায়ণ
পক
পনীয়
হীন
মিত
দিত
নীত
ধারী
ক্ষম
গামী
চারী
শায়ী
কালীন
শালী
শীল
রঙ্গ
লিত
জক
জিত
যাপিত
চিত
ড়িত
হিত
নীয়
মানি
তীত
বাদী
হত
পাতী
ণীয়
সক্ত
স্তীর্ণ
দক
হারী
হারীয়
কৃত
গ্রাহ্য
ধীন
ভোজী
সিত
জীবী
মান
ক্রান্ত
ক্ষিপ্ত
খাত
পীড়ক
পীড়িত
শীল
