adjective of adjective
অনেক
অধিক
বেশি
অল্প
কম
অধিকতর
খুব
এত
অত্যন্ত
প্রচণ্ড
সামান্য
অতিশয়
ভারি
ভীষণ
বড়
অতি
প্রচু র
বেশ
মোটামুটি
বহু
